ScanRate,ClockFreq,pwr2Div,preScale
204800,204800,0,1
131072,131072,0,1
102400,204800,1,1
65536,131072,1,1
51200,204800,2,1
40960,204800,0,5
32768,131072,2,1
26214.4,131072,0,5
25600,204800,3,1
20480,204800,1,5
16384,131072,3,1
13107.2,131072,1,5
12800,204800,4,1
10240,204800,2,5
8192,131072,4,1
6553.6,131072,2,5
6400,204800,5,1
5120,204800,3,5
4096,131072,5,1
3276.8,131072,3,5
3200,204800,6,1
2560,204800,4,5
2048,131072,6,1
1638.4,131072,4,5
1600,204800,7,1
1280,204800,5,5
1024,131072,7,1
819.2,131072,5,5
800,204800,8,1
640,204800,6,5
512,131072,8,1
409.6,131072,6,5
400,204800,9,1
320,204800,7,5
256,131072,9,1
204.8,131072,7,5
200,204800,10,1
160,204800,8,5
128,131072,10,1
102.4,131072,8,5
100,204800,11,1
80,204800,9,5
64,131072,11,1
51.2,131072,9,5
50,204800,12,1
40,204800,10,5
32,131072,12,1
25.6,131072,10,5
25,204800,13,1
20,204800,11,5
16,131072,13,1
12.8,131072,11,5
12.5,204800,14,1
10,204800,12,5
8,131072,14,1
6.4,131072,12,5
6.25,204800,15,1
5,204800,13,5
4,131072,15,1
3.2,131072,13,5
3.125,204800,16,1
2.5,204800,14,5
2,131072,16,1
1.6,131072,14,5
1.5625,102400,16,1
1.25,204800,15,5
1,65536,16,1
0.8,131072,15,5
0.78125,51200,16,1
0.625,204800,16,5
0.4,131072,16,5
0.3125,102400,16,5
0.2,65536,16,5
0.15625,51200,16,5
0.1,32768,16,5
